Rd1,Rd2,S16,E8,FF,C,W
Villanova,Villanova,Villanova,Villanova,Villanova,Villanova,Villanova
Mount St. Mary's,,,,,,
Wisconsin,Virgina Tech,,,,,
Virgina Tech,,,,,,
Virginia,Virginia,Virginia,,,,
UNC Wilmington,,,,,,
Florida,East Tennessee State,,,,,
East Tennessee State,,,,,,
SMU,USC,USC,USC,,,
USC,,,,,,
Baylor,Baylor,,,,,
New Mexico State,,,,,,
South Carolina,Marquette,Duke,,,,
Marquette,,,,,,
Duke,Duke,,,,,
Troy,,,,,,
Gonzaga,Gonzaga,Gonzaga,West Virginia,VCU,,
South Dakota State,,,,,,
Northwestern,Vanderbilt,,,,,
Vanderbilt,,,,,,
Notre Dame,Notre Dame,West Virginia,,,,
Princeton,,,,,,
West Virginia,West Virginia,,,,,
Bucknell,,,,,,
Maryland,Xavier,Florida State,VCU,,,
Xavier,,,,,,
Florida State,Florida State,,,,,
Florida Gulf Coast,,,,,,
St. Mary's,VCU,VCU,,,,
VCU,,,,,,
Arizona,Arizona,,,,,
North Dakota,,,,,,
Kansas,Kansas,Kansas,Kansas,Louisville,Louisville,
UC Davis,,,,,,
Miami,Miami,,,,,
Michigan State,,,,,,
Iowa State,Iowa State,Purdue,,,,
Nevada,,,,,,
Purdue,Purdue,,,,,
Vermont,,,,,,
Creighton,Creighton,Oregon,Louisville,,,
Rhode Island,,,,,,
Oregon,Oregon,,,,,
Iona,,,,,,
Michigan,Oklahoma State,Louisville,,,,
Oklahoma State,,,,,,
Louisville,Louisville,,,,,
Jacksonville State,,,,,,
North Carolina,North Carolina,North Carolina,North Carolina,North Carolina,,
Texas Southern,,,,,,
Arkansas,Seton Hall,,,,,
Seton Hall,,,,,,
Minnesota,Middle Tennessee,Butler,,,,
Middle Tennessee,,,,,,
Butler,Butler,,,,,
Winthrop,,,,,,
Cincinnati,Cincinnati,UCLA,Kentucky,,,
Kansas State,,,,,,
UCLA,UCLA,,,,,
Kent State,,,,,,
Dayton,Wichita State,Kentucky,,,,
Wichita State,,,,,,
Kentucky,Kentucky,,,,,
Northern Kentucky,,,,,,
