Rd1,Rd2,S16,E8,FF,C,W
Villanova,Villanova,Villanova,Villanova,Duke,Gonzaga,UCLA
Mount St. Mary's,,,,,,
Wisconsin,Wisconsin,,,,,
Virgina Tech,,,,,,
Virginia,Virginia,Florida,,,,
UNC Wilmington,,,,,,
Florida,Florida,,,,,
East Tennessee State,,,,,,
SMU,SMU,SMU,Duke,,,
USC,,,,,,
Baylor,Baylor,,,,,
New Mexico State,,,,,,
South Carolina,Marquette,Duke,,,,
Marquette,,,,,,
Duke,Duke,,,,,
Troy,,,,,,
Gonzaga,Gonzaga,Gonzaga,Gonzaga,Gonzaga,,
South Dakota State,,,,,,
Northwestern,Vanderbilt,,,,,
Vanderbilt,,,,,,
Notre Dame,Princeton,Bucknell,,,,
Princeton,,,,,,
West Virginia,Bucknell,,,,,
Bucknell,,,,,,
Maryland,Xavier,Xavier,Arizona,,,
Xavier,,,,,,
Florida State,Florida State,,,,,
Florida Gulf Coast,,,,,,
St. Mary's,St. Mary's,Arizona,,,,
VCU,,,,,,
Arizona,Arizona,,,,,
North Dakota,,,,,,
Kansas,Kansas,Kansas,Kansas,Oregon,UCLA,
UC Davis,,,,,,
Miami,Michigan State,,,,,
Michigan State,,,,,,
Iowa State,Iowa State,Iowa State,,,,
Nevada,,,,,,
Purdue,Purdue,,,,,
Vermont,,,,,,
Creighton,Creighton,Oregon,Oregon,,,
Rhode Island,,,,,,
Oregon,Oregon,,,,,
Iona,,,,,,
Michigan,Michigan,Louisville,,,,
Oklahoma State,,,,,,
Louisville,Louisville,,,,,
Jacksonville State,,,,,,
North Carolina,North Carolina,North Carolina,North Carolina,UCLA,,
Texas Southern,,,,,,
Arkansas,Arkansas,,,,,
Seton Hall,,,,,,
Minnesota,Middle Tennessee,Middle Tennessee,,,,
Middle Tennessee,,,,,,
Butler,Butler,,,,,
Winthrop,,,,,,
Cincinnati,Cincinnati,UCLA,UCLA,,,
Kansas State,,,,,,
UCLA,UCLA,,,,,
Kent State,,,,,,
Dayton,Dayton,Kentucky,,,,
Wichita State,,,,,,
Kentucky,Kentucky,,,,,
Northern Kentucky,,,,,,
