,Total,Rd2,S16,E8,FF,C,W
brackets2018\formula1_2018_99.csv,1000,220,140,80,80,160,320
brackets2018\formula1_2018_100.csv,600,240,200,80,80,0,0
brackets2018\formula2_2018_1.csv,670,270,200,120,80,0,0
brackets2018\formula2_2018_2.csv,820,260,160,80,160,160,0
brackets2018\formula2_2018_3.csv,1140,220,160,120,160,160,320
brackets2018\formula2_2018_4.csv,570,250,160,80,80,0,0
brackets2018\formula2_2018_5.csv,1130,250,160,160,80,160,320
brackets2018\formula2_2018_6.csv,560,260,180,120,0,0,0
brackets2018\formula2_2018_7.csv,410,250,120,40,0,0,0
brackets2018\formula2_2018_8.csv,540,200,100,160,80,0,0
brackets2018\formula2_2018_9.csv,820,220,240,120,80,160,0
brackets2018\formula2_2018_10.csv,1490,230,180,200,240,320,320
brackets2018\formula2_2018_11.csv,850,230,180,120,160,160,0
brackets2018\formula2_2018_12.csv,560,240,160,80,80,0,0
brackets2018\formula2_2018_13.csv,550,270,160,40,80,0,0
brackets2018\formula2_2018_14.csv,1040,220,180,80,80,160,320
brackets2018\formula2_2018_15.csv,460,240,140,80,0,0,0
brackets2018\formula2_2018_16.csv,570,250,200,120,0,0,0
brackets2018\formula2_2018_17.csv,560,260,180,120,0,0,0
brackets2018\formula2_2018_18.csv,510,270,200,40,0,0,0
brackets2018\formula2_2018_19.csv,840,260,140,120,160,160,0
brackets2018\formula2_2018_20.csv,690,270,140,40,80,160,0
brackets2018\formula2_2018_21.csv,460,240,140,80,0,0,0
brackets2018\formula2_2018_22.csv,790,250,220,160,160,0,0
brackets2018\formula2_2018_23.csv,640,280,160,120,80,0,0
brackets2018\formula2_2018_24.csv,470,270,160,40,0,0,0
brackets2018\formula2_2018_25.csv,630,250,140,80,160,0,0
brackets2018\formula2_2018_26.csv,390,250,100,40,0,0,0
brackets2018\formula2_2018_27.csv,550,250,220,80,0,0,0
brackets2018\formula2_2018_28.csv,480,280,160,40,0,0,0
brackets2018\formula2_2018_29.csv,560,280,200,80,0,0,0
brackets2018\formula2_2018_30.csv,760,260,140,120,80,160,0
brackets2018\formula2_2018_31.csv,680,240,200,160,80,0,0
brackets2018\formula2_2018_32.csv,450,250,160,40,0,0,0
brackets2018\formula2_2018_33.csv,780,240,140,160,80,160,0
brackets2018\formula2_2018_34.csv,340,220,80,40,0,0,0
brackets2018\formula2_2018_35.csv,520,240,160,120,0,0,0
brackets2018\formula2_2018_36.csv,880,240,160,160,160,160,0
brackets2018\formula2_2018_37.csv,910,250,180,240,80,160,0
brackets2018\formula2_2018_38.csv,490,270,140,80,0,0,0
brackets2018\formula2_2018_39.csv,1040,220,100,160,80,160,320
brackets2018\formula2_2018_40.csv,790,250,180,200,160,0,0
brackets2018\formula2_2018_41.csv,610,230,220,160,0,0,0
brackets2018\formula2_2018_42.csv,600,260,180,80,80,0,0
brackets2018\formula2_2018_43.csv,700,260,240,120,80,0,0
brackets2018\formula2_2018_44.csv,680,240,240,120,80,0,0
brackets2018\formula2_2018_45.csv,490,250,160,80,0,0,0
brackets2018\formula2_2018_46.csv,650,270,180,120,80,0,0
brackets2018\formula2_2018_47.csv,600,260,140,120,80,0,0
brackets2018\formula2_2018_48.csv,540,240,180,120,0,0,0
brackets2018\formula2_2018_49.csv,980,220,120,80,80,160,320
brackets2018\formula2_2018_50.csv,450,250,120,80,0,0,0
brackets2018\formula2_2018_51.csv,760,220,140,160,240,0,0
brackets2018\formula2_2018_52.csv,1040,220,140,120,80,160,320
brackets2018\formula2_2018_53.csv,460,240,140,80,0,0,0
brackets2018\formula2_2018_54.csv,470,230,120,120,0,0,0
brackets2018\formula2_2018_55.csv,730,270,220,160,80,0,0
brackets2018\formula2_2018_56.csv,510,230,160,40,80,0,0
brackets2018\formula2_2018_57.csv,490,250,160,80,0,0,0
brackets2018\formula2_2018_58.csv,1420,240,180,120,240,320,320
brackets2018\formula2_2018_59.csv,590,250,220,40,80,0,0
brackets2018\formula2_2018_60.csv,570,210,160,120,80,0,0
brackets2018\formula2_2018_61.csv,650,250,200,120,80,0,0
brackets2018\formula2_2018_62.csv,570,250,120,120,80,0,0
brackets2018\formula2_2018_63.csv,510,290,140,80,0,0,0
brackets2018\formula2_2018_64.csv,320,240,80,0,0,0,0
brackets2018\formula2_2018_65.csv,620,280,180,80,80,0,0
brackets2018\formula2_2018_66.csv,830,250,180,160,80,160,0
brackets2018\formula2_2018_67.csv,670,270,120,120,160,0,0
